geneID	baseMean	log2FoldChange	lfcSE	pvalue	group1	group2	minusLog10p
YIL015W	525.95218903623	-4.80823439127258	0.138792674362396	3.71613141076457e-264	a_diploid	a_no	260.100443257169
YJR086W	350.874544774541	-5.62280334769147	0.209428305681061	3.64876406747235e-159	a_diploid	a_no	155.58550979273
YLR157W-E	91.0676867714643	-6.19693896963677	0.55433722028418	6.3276662248972e-30	a_diploid	a_no	27.1774993379854
YLR265C	148.228129631905	-3.83407779079546	0.147861093600647	1.37867559719732e-148	a_diploid	a_no	145.053950977104
YLR303W	3274.38222392798	16.5705371083572	3.62291189702385	7.7935798651412e-45	a_diploid	a_no	41.8457441198012
YNL145W	1528.58964243259	-7.60592333343379	0.254441398139741	8.41637396623031e-197	a_diploid	a_no	193.113386081365
YNL146C-A	11.2505055546563	-4.13284067456737	0.528107232022881	1.95267804857938e-15	a_diploid	a_no	13.1769402708551
YOR248W	6.79857091138785	-4.08746823254484	1.0056282092923	1.12199572541056e-05	a_diploid	a_no	4.15878161873715
YCL066W	37.66783421097	11.3315123856599	3.06733835419922	3.14431216915692e-21	a_pseudo	a_no	18.4448082395714
YCR040W	119.00087104561	10.4047218519043	1.30428348986476	3.06321123930736e-24	a_pseudo	a_no	21.3785520914539
YDR461W	1530.56288702959	-3.70740220659864	0.22380010864052	8.24336407113496e-63	a_pseudo	a_no	59.5163156469352
YFL026W	1677.67507545129	-3.47556242478953	0.12693066374777	1.71663767012082e-166	a_pseudo	a_no	162.444413822807
YGL032C	214.692191792095	-3.37024059923458	0.190151310200833	1.75059549857487e-71	a_pseudo	a_no	68.1049134348722
YIL015W	525.95218903623	-3.48288565740445	0.119067936335137	2.09242472675229e-189	a_pseudo	a_no	185.182351358698
YNL145W	1528.58964243259	-3.80422295677473	0.224803255500648	2.13688411455661e-65	a_pseudo	a_no	62.0482814950894
YLR265C	148.228129631905	-6.94337663327593	0.302545808452503	1.65488568835958e-115	a_nej1_del	a_no	111.00077066699
YAL018C	103.755712073173	5.20158156872773	0.210558477239561	3.53271985287518e-135	alpha_nam	alpha_no	131.82139512578
YAR073W	85.0606799374583	4.65914040748695	0.228510541531793	2.39828839104035e-93	alpha_nam	alpha_no	90.3048733542604
YAR075W	33.6412451104286	4.017251399953	0.266880364072926	5.11281772773156e-52	alpha_nam	alpha_no	49.255604766937
YBL016W	380.147528903241	-3.72361536695059	0.165993267242868	1.54021396262585e-112	alpha_nam	alpha_no	109.403772018227
YBL108C-A	6.99888772826848	4.10999360808707	0.61792930825899	6.78638646222734e-12	alpha_nam	alpha_no	10.0081782042499
YBL108W	6.53049173637183	3.38580235124711	0.616641970703086	6.06529879908695e-09	alpha_nam	alpha_no	7.26547388729548
YBR040W	60.8187966661801	3.64367467682955	0.188070256001458	1.08842405675527e-84	alpha_nam	alpha_no	81.7006829778697
YBR180W	101.829208339563	3.36052609184464	0.167422493975496	1.5108612705182e-90	alpha_nam	alpha_no	87.5193384553741
YBR200W-A	38.1164449766007	5.37950833922784	0.421611582282921	5.65887160899566e-38	alpha_nam	alpha_no	35.364962511154
YCL026C-A	166.293736208949	5.16085694270681	0.174146224703236	1.14527459283008e-193	alpha_nam	alpha_no	189.91265468977
YCL069W	30.2804043990434	4.73852412393623	0.340936577793608	1.70064245241127e-44	alpha_nam	alpha_no	41.8201325461199
YCL076W	17.5897787063527	10.3640375253094	2.96059066540645	7.65190548448696e-18	alpha_nam	alpha_no	15.6380230720812
YCR097W	1147.50410163988	13.6348010074106	3.32243836539161	1.37342866527129e-30	alpha_nam	alpha_no	28.0809128234844
YCR108C	3.64190583735999	4.89431607627333	1.03537345156412	8.15075706001763e-07	alpha_nam	alpha_no	5.31119282205285
YDL007C-A	4.45437105738202	8.17097565805958	2.71816380643322	5.06300174239966e-11	alpha_nam	alpha_no	9.19912235393748
YDL114W	54.0046384215001	3.7158172739613	0.240683468578816	9.25413000871913e-55	alpha_nam	alpha_no	51.9674401586764
YDR103W	396.636052572659	-3.43430777636797	0.148203815769888	1.16022464425829e-119	alpha_nam	alpha_no	116.471293660443
YDR218C	117.12138695169	3.88255649316623	0.216413936283459	2.5774121932387e-73	alpha_nam	alpha_no	70.4156976425015
